Spread,Prob
-19.0,0.0792838874680307
-18.5,0.08913649025069639
-18.0,0.10005261600184157
-17.5,0.09888965995836224
-17.0,0.10534441265949236
-16.5,0.09669843901091311
-16.0,0.09760589318600368
-15.5,0.10236220472440943
-15.0,0.1219027866646074
-14.5,0.13254761554015568
-14.0,0.1346499102333932
-13.5,0.1408655626686419
-13.0,0.15273004963726614
-12.5,0.1557389814670612
-12.0,0.17868378004278343
-11.5,0.18093249826026445
-11.0,0.18789204251398942
-10.5,0.19662969798368318
-10.0,0.2060310919647874
-9.5,0.2157676348547718
-9.0,0.22389723818568527
-8.5,0.22715417081614261
-8.0,0.24698133918770582
-7.5,0.2608047690014903
-7.0,0.2673708423668764
-6.5,0.283290365129804
-6.0,0.3025009586297985
-5.5,0.3125345724084523
-5.0,0.32354405176704826
-4.5,0.34043487810235007
-4.0,0.35865030375484913
-3.5,0.3822098679638638
-3.0,0.40058712005381936
-2.5,0.4176661019507858
-2.0,0.4455578077790951
-1.5,0.47184039298487523
-1.0,0.47621137640449435
-0.5,0.4784265083724639
0.0,0.5
0.5,0.5215734916275362
1.0,0.5237886235955056
1.5,0.5281596070151248
2.0,0.5544421922209049
2.5,0.5823338980492141
3.0,0.5994128799461808
3.5,0.6177901320361362
4.0,0.6413496962451509
4.5,0.6595651218976498
5.0,0.6764559482329516
5.5,0.6874654275915477
6.0,0.6974990413702016
6.5,0.7167096348701961
7.0,0.7326291576331235
7.5,0.7391952309985097
8.0,0.7530186608122942
8.5,0.7728458291838572
9.0,0.7761027618143147
9.5,0.7842323651452283
10.0,0.7939689080352126
10.5,0.8033703020163168
11.0,0.8121079574860105
11.5,0.8190675017397356
12.0,0.8213162199572165
12.5,0.8442610185329388
13.0,0.8472699503627339
13.5,0.8591344373313582
14.0,0.8653500897666069
14.5,0.8674523844598443
15.0,0.8780972133353927
15.5,0.8976377952755905
16.0,0.9023941068139962
16.5,0.903301560989087
17.0,0.8946555873405078
17.5,0.9011103400416377
18.0,0.8999473839981584
18.5,0.9108635097493037
19.0,0.9207161125319694
